,Station,Latitude,Longitude
291,Cottage Grove Ave & 51st St,41.803038,-87.606615
292,Racine Ave & 65th St,41.775393,-87.654308
293,Woodlawn Ave & Lake Park Ave,41.81409271,-87.597005148
294,Broadway & Wilson - Truman College Vaccination Site,41.965221,-87.658139
295,Western Ave & 24th St,41.84847,-87.685109
296,Cottage Grove Ave & 78th St,41.753174,-87.605026
297,Southport Ave & Clark St,41.957081,-87.664199
298,Kildare Ave & Montrose Ave,41.961079999999995,-87.73569
299,Ashland Ave & Belle Plaine Ave,41.956057,-87.668835
300,Halsted St & Willow St,41.913865,-87.64875500000001
301,Loomis St & Jackson Blvd,41.877945000000004,-87.66200699999999
302,Franklin St & Lake St,41.885837,-87.6355
303,Ashland Ave & Wrightwood Ave,41.92883,-87.66850699999999
304,Ashland Ave & Garfield Blvd,41.792821999999994,-87.664429
305,Dodge Ave & Mulford St,42.023463,-87.699595
306,Pulaski Rd & Congress Pkwy,41.874325,-87.72570400000001
307,Lakefront Trail & Wilson Ave,41.965845,-87.645361
308,South Chicago Ave & Elliot Ave,41.747363,-87.580046
309,Western Ave & Division St,41.902893,-87.687275
310,La Villita Park (Albany/30th),41.8392528,-87.7020207
311,Central Ave & Madison St,41.880121,-87.763238
312,Rhodes Ave & 71st St,41.766000000000005,-87.611726
313,Marshfield Ave & 44th St,41.813996,-87.666589
314,Stave St & Armitage Ave,41.917741,-87.69139200000001
315,Indiana Ave & 40th St,41.82168,-87.6216
316,Sangamon St & Washington Blvd,41.883165000000005,-87.6511
317,Loomis St & Lexington St,41.872187,-87.661501
318,Cityfront Plaza Dr & Pioneer Ct,41.890572999999996,-87.622072
319,Damen Ave & Leland Ave,41.967094,-87.679028
320,Greenwood Ave & 79th St,41.751294,-87.59755200000001
321,Clarendon Ave & Leland Ave,41.967968,-87.650001
322,Calumet Ave & 51st St,41.802294651,-87.61805358
323,Shields Ave & 31st St,41.838464,-87.635406
324,Washtenaw Ave & Madison St,41.881285999999996,-87.69396
325,Sheffield Ave & Kingsbury St,41.910522,-87.65310600000001
326,Clybourn Ave & Division St,41.904613,-87.640552
327,Halsted St & Polk St,41.87184,-87.64664
328,Seeley Ave & Garfield Blvd,41.794087,-87.675478
329,Halsted St & 35th St,41.830661,-87.647172
330,Cottage Grove Ave & Oakwood Blvd,41.822984999999996,-87.6071
331,Wells St & Evergreen Ave,41.906724,-87.63483000000001
332,Damen Ave & Cullerton St,41.854966519,-87.675699592
333,State St & 19th St,41.856594,-87.627542
334,Wolcott Ave & Polk St,41.871262,-87.673688
335,Kedzie Ave & Palmer Ct,41.921525,-87.70732199999999
336,Canal St & Adams St,41.879255,-87.639904
337,Lavergne & Fullerton,41.923982,-87.7511643
338,Central St & Girard Ave,42.064313,-87.686152
339,Troy St & Grace St,41.950244,-87.706489
340,Morgan St & Pershing Rd,41.823613,-87.650931
341,Walsh Park,41.914609999999996,-87.667968
342,Damen Ave & Cortland St,41.915983000000004,-87.677335
343,Dorchester Ave & 49th St,41.805772,-87.592464
344,Marine Dr & Ainslie St,41.9716,-87.650154
345,Claremont Ave & Hirsch St,41.907781,-87.685854
346,Pulaski Rd & Lake St,41.885409,-87.72649100000001
347,Dearborn St & Erie St,41.893992,-87.62931800000001
348,State St & Harrison St,41.874053,-87.627716
